xuhao,type,content,answer,A,B,C,D,E,F
546,单选题,480.党内监督专责机关是____。,D,各级监察委员会,中央纪律检查委员会,党的各级纪律检查组,党的各级纪律检查委员会,,
547,单选题,481.党在任何时候都把群众利益放在第一位，同群众同甘共苦，保持最密切的联系，坚持____。,C,心为民所想、情为民所系、利为民所谋,权为民所用、心为民所想、情为民所系,权为民所用、情为民所系、利为民所谋,权为民所用、情为民所系、心为民所想,,
548,单选题,482.预备党员的权利，除了没有____以外，也同正式党员一样。,B,表决权、审议权、选举权、被选举权,表决权、选举权、被选举权,表决权、审议权、选举权,审议权、选举权、被选举权,,
549,单选题,483.中央委员会委员和候补委员的名额，由全国代表大会决定。中央委员会委员出缺，由中央委员会候补委员____递补。,D,按照当选先后依次,按照姓氏笔画先后依次,按照年龄大小依次,按照得票多少依次,,
550,单选题,484.党的各级纪律检查委员会的职责是____，要经常对党员进行遵守纪律的教育，作出关于维护党纪的决定。,C,监督、执纪,监督、问责,监督、执纪、问责,监督、执法、问责,,
551,单选题,485.党支部是党的基础组织，担负____的职责。,A,组织群众、宣传群众、凝聚群众、服务群众,关心群众、宣传群众、凝聚群众、服务群众,组织群众、宣传群众、团结群众、服务群众,组织群众、指导群众、凝聚群众、服务群众,,
552,单选题,486.党的干部要加强道德修养，讲党性、重品行、作表率，做到____。,C,自重、自省、自警、自律,自爱、自醒、自警、自励,自重、自省、自警、自励,自重、自省、自律、自励,,
553,单选题,487.对党员的纪律处分有五种：____。,B,通报批评、警告、撤销党内职务、留党察看、开除党籍,警告、严重警告、撤销党内职务、留党察看、开除党籍,警告、严重警告、撤销职务、留党察看、开除党籍,通报批评、严重警告、撤销职务、留党察看、开除党籍,,
554,单选题,488.对党的中央委员会和地方各级委员会的委员、候补委员，给以的处分，必须由本人所在的委员会全体会议三分之二以上的多数决定,B,严重警告、撤销党内职务、留党察看、开除党籍,撤销党内职务、留党察看、开除党籍,留党察看、开除党籍,开除党籍,,
555,单选题,489.党的县（旗）、自治县、不设区的市和市辖区的委员会，每届任期____年。这些委员会的委员和候补委员必须有____年以上的党龄。,C,三、三,三、五,五、三,五、五,,
556,单选题,490.下列不属于新党章所规定的党组任务的是：____。,D,加强对本单位党的建设的领导，履行全面从严治党责任,讨论和决定基层党组织设置调整和发展党员、处分党员等重要事项,领导机关和直属单位党组织的工作,受理处置党员群众检举举报，开展谈话提醒、约谈函询,,
557,单选题,491.中国共产党党徽为____组成的图案。,D,镰刀与五星,五星与锤头,锤头与齿轮,镰刀和锤头,,
558,单选题,492.中国共产党党旗为旗面缀有____图案的红旗。,B,黄色党徽,金黄色党徽,金色党徽,金红色党徽,,
559,单选题,493.中国共产主义青年团是中国共产党领导的先进青年的群团组织，是广大青年在实践中学习中国特色社会主义和共产主义的学校，是党的____。,C,助手,后备队,助手和后备军,助手与后备队,,
560,单选题,494.团的县级和县级以下各级委员会书记，企业事业单位的团委员会书记，是党员的，____同级党的委员会和常务委员会的会议。,A,可以列席,可以参加,必须列席,必须参加,,
561,单选题,495.对下属单位实行集中统一领导的国家工作部门可以：____。,D,建立党组,建立分党组,建立分党委,建立党委,,
562,单选题,496.上级纪律检查委员会有权检查下级纪律检查委员会的工作，并且____下级纪律检查委员会对于案件所作的决定。,B,有权批准,有权批准和改变,有权不批准,有权改变,,
563,单选题,497.各级纪律检查委员会发现同级党的委员会委员有违犯党的纪律的行为，可以先进行初步核实，如果需要立案检查的，应当：____。,D,向同一级党的委员会报告,向上一级纪律检查委员会报告,在向上一级党的委员会报告的同时，向上一级纪律检查委员会报告,在向同级党的委员会报告的同时，向上一级纪律检查委员会报告,,
564,单选题,498.党的各级纪律检查委员会的职责是____。,C,监督、执纪,监督、问责,监督、执纪、问责,监督、执纪、问责、教育,,
565,单选题,499.党的地方各级纪律检查委员会全体会议，选举常务委员会和书记、副书记，并____。,C,报同级党的委员会批准，报上级党的委员会备案,由同级党的委员会通过，报上级党的委员会备案,由同级党的委员会通过，报上级党的委员会批准,报上级党的纪律委员会批准，报上级党的委员会批准,,
566,单选题,500.对于严重违犯党的纪律、本身又不能纠正的党组织，上一级党的委员会在查明核实后，应根据情节严重的程度，作出____的决定。,C,进行改组,进行改组重建,进行改组或予以解散,予以解散,,
567,单选题,501.严重触犯刑律的中央委员会委员、候补委员，由____决定开除其党籍。,D,中央委员会,中央书记处,中央政治局常务委员会,中央政治局,,
568,单选题,502.对党的中央委员会和地方各级委员会的委员、候补委员，给以撤销党内职务、留党察看或开除党籍的处分，必须由本人所在的委员会全体会议____以上的多数决定。,A,三分之二,五分之三,二分之一,五分之四,,
569,单选题,503.对党员的纪律处分，必须经过____。,D,党员大会讨论，党的基层委员会决定,党委会讨论决定，报上级党的委员会批准,党的纪律委员会讨论，报同级党委员会批准,支部大会讨论决定，报党的基层委员会批准,,
570,单选题,504.留党察看最长不超过____，党员在留党察看期间没有____。,D,一年 选举权和被选举权,一年 表决权、选举权和被选举权,两年 选举权和被选举权,两年 表决权、选举权和被选举权,,
571,单选题,505.运用监督执纪“四种形态”，让“红红脸、出出汗”成为常态，是与四道防线中____相对应，有利于监督执纪“对症下药”、“精准治疗”。,B,正歪树,治未病,治病树,拔烂树,,
572,单选题,506.党的干部要坚持解放思想，实事求是，与时俱进，开拓创新，认真调查研究，能够把党的方针、政策同本地区、本部门的实际相结合，卓有成效地开展工作，____。,C,说实话，做实事,讲实话，办实事,讲实话，办实事，求实效,讲实话，办实事，勤实干,,
573,单选题,507.各级党和国家机关中党的基层组织，协助行政负责人完成任务，改进工作，对包括行政负责人在内的每个党员进行____。,B,教育、管理,教育、管理、监督,教育、管理、监督、指导,教育、管理、监督、指导、服务,,
574,单选题,508.国有企业党委（党组）发挥领导作用，____，依照规定讨论和决定企业重大事项。,A,把方向、管大局、保落实,把方向、指道路、控大局,把方向、定基调、管大局,把方向、管干部、重落实,,
575,单选题,509.党支部是党的基础组织，担负直接____职责。,C,发展党员、培训党员、管理党员,吸收党员、教育党员、管理党员,教育党员、管理党员、监督党员,发展党员、培训党员、监督党员,,
576,单选题,510.党的基层组织，根据工作需要和党员人数，经上级党组织批准，分别设立____。,D,党的小组,党的支部委员会,党的总支部委员会、支部委员会,党的基层委员会、总支部委员会、支部委员会,,
577,单选题,511.党的地方各级委员会全体会议，每年至少____。,B,召开一次,召开两次,召开三次,召开四次,,
578,单选题,512.中央军事委员会负责军队中党的工作和政治工作，对军队中____作出规定。,A,党的组织体制和机构,党的组织机构和人员,党的人员结构和制度,党的领导和管理制度,,
579,单选题,513.党的全国代表大会每____举行一次，由中央委员会召集。中央委员会认为有必要，或者有____以上的省一级组织提出要求，全国代表大会可以提前举行。,C,四年 三分之一,四年 三分之二,五年 三分之一,五年 三分之二,,
580,单选题,514.党员如果没有正当理由，连续____不参加党的组织生活，或不交纳党费，或不做党所分配的工作，就被认为是自行脱党。,B,三个月,六个月,九个月,十二个月,,
581,单选题,515.年满十八岁的____的先进分子，承认党的纲领和章程，愿意参加党的一个组织并在其中积极工作、执行党的决议和按期交纳党费的，可以申请加入中国共产党。,A,中国工人、农民、军人、知识分子和其他社会阶层,中国工人、农民、知识分子和其他社会阶层,中国工人、农民、军人、教师、企业家和其他社会阶层,中国工人、农民、军人、教师、学生和其他社会阶层,,
582,单选题,516.我们党的最大政治优势是____，党执政后的最大危险是脱离群众。,B,理论联系实际,密切联系群众,解放思想,实事求是,,
583,单选题,517.民主集中制是民主基础上的集中和集中指导下的民主相结合。它既是党的____，也是群众路线在党的生活中的运用。,C,根本领导原则,根本管理原则,根本组织原则,根本政治原则,,
584,单选题,1.中国共产党是____的先锋队，同时是中国人民和中华民族的先锋队。,A,中国工人阶级,农民阶级,知识分子,武装力量,,
585,单选题,2.党章共有____章。,C,12,9,11,1,,
586,单选题,3.共产主义只有在____充分发展和高度发达的基础上才能实现。,A,社会主义社会,资本主义社会,社会主义初级阶段,封建主义社会,,
587,单选题,4.我国正处于并将长期处于____。,A,社会主义初级阶段,社会主义阶段,新民主主义社会阶段,社会主义初期阶段,,
588,单选题,5.我国一切发展成果由____共享。,A,人民,工人阶级,农民,知识分子,,
589,单选题,6.我国的社会主义建设，必须从我国的____出发。,C,实际,十多亿人口状况,国情,脱胎于半封建半殖民地社会的现状,,
590,单选题,7.我国必须坚持以____为中心，其他各项工作都服从和服务于这个中心。,A,经济建设,加强共产党领导,农业农民农村“三农”,保持社会稳定,,
591,单选题,8.我们的立国之本是____。,D,指导思想上坚持马克思主义,坚持共产党领导,坚持社会主义道路,四项基本原则,,
592,单选题,9.我们的强国之路是____。,C,对外开放,不断深化改革,坚持改革开放,大力发展生产力,,
593,单选题,10.只有____，才能发展中国、发展社会主义、发展马克思主义。,A,改革开放,发展社会主义民主政治,提高社会生产力,大力加强社会主义精神文明建设,,
594,单选题,11.走中国特色社会主义政治发展道路，扩大社会主义民主，健全社会主义法制，____，巩固人民民主专政，建设社会主义政治文明。,A,建设社会主义法治国家,建设社会主义精神文明,发展社会主义民主,建设社会主义法制国家,,
595,单选题,12.党必须在____的范围内活动。,A,宪法和法律,党章,国家法律,党的纪律允许,,
596,单选题,13.党是按照____组织起来的统一整体。,A,民主集中制,马克思主义基本原则,党章,民主制度,,
597,单选题,14.党代会的代表和委员会的产生，要体现____的意志。,B,人民,选举人,党员,领导,,
598,单选题,15.党的各级代表大会代表实行____。,A,任期制,任命制,聘任制,终身制,,
599,单选题,16.党组织讨论决定问题，必须执行____的原则。,D,全体代表意志,领导意志,人民的意志,少数服从多数,,
600,单选题,17.党组织决定重要问题，要进行____。,A,表决,票决,举手通过,党组织主要负责人拍板决定,,
601,单选题,18.基层单位凡是有正式党员三人以上的，都应当成立党的____。,C,党支部,党总支,基层组织,党委,,
602,单选题,19.基层委员会、总支部委员会、支部委员会的书记、副书记选举产生后，应报____批准。,A,上级党组织,下级党组织,同级党组织,党的中央组织,,
603,单选题,20.____是党在社会基层组织中的战斗堡垒，是党的全部工作和战斗力的基础。,A,党的基层组织,党中央,县以上的委员会,党支部,,
604,单选题,21.党的基层组织要____党的路线、方针、政策，宣传和执行党中央、上级组织和本组织的决议。,B,学习和宣传,宣传和执行,不折不扣执行,原原本本执行,,
605,单选题,22.党的各级领导干部必须正确行使____权力。,A,人民赋予的,组织部门赋予的,领导同志赋予的,党组织赋予的,,
606,单选题,23.____是党内的最高处分。,A,开除党籍,受刑事处分,开除公职,撤职,,
607,单选题,24.对党员的纪律处分，必须经过____讨论决定，报党的基层委员会批准。,A,支部大会,党员大会,全体党员,上级党委会,,
608,单选题,25.对党的中央委员会和地方各级委员会的委员、候补委员，给以撤销党内职务、留党察看或开除党籍的处分，必须由本人所在的委员会全体会议____的多数决定。,B,一半以上,三分之二以上,三分之一以上,四分之三以上,,
609,单选题,26.严重触犯刑律的地方各级委员会委员、候补委员，由____决定开除其党籍。,B,上级党委,同级委员会常务委员会,同级纪委,上级纪委,,
610,单选题,27.党组织对党员作出处分决定所依据的事实材料和处分决定必须同____见面，听取本人说明情况和申辩。,B,本人所在党组织,本人,本人亲属,本人单位领导,,
611,单选题,28.党组织如果____失职，必须受到追究。,D,任用干部方面,完成工作任务方面,科学决策方面,在维护党的纪律方面,,
612,单选题,29.党的中央纪律检查委员会全体会议，选举常务委员会和书记、副书记，并报党的____批准。,A,中央委员会,中央政治局,党的总书记,党的全国代表大会,,
613,单选题,30.党的基层委员会是设立纪律检查会，还是设立纪律检查委员，由它的____根据具体情况决定。,B,同级党组织,上一级党组织,上一级纪律,全体党员表决,,
614,单选题,31.纪律检查组组长或纪律检查员可以列席____的有关会议。,A,该机关党的领导组织,该机关行政领导组织,该机关所有会议,该机会党风廉政建设方面的会议,,
615,单选题,32.党的地方各级纪律检查委员会和基层纪律检查委员会如果对同级党的委员会处理案件的决定有不同的意见，可以请求上一级纪律检查委员会予以____。,A,复查,撤销,复核,重新调查,,
616,单选题,33.党的中央纪律检查委员会在党的中央委员会____下进行工作。,C,指导,帮助,领导,监督,,
617,单选题,34.党的地方各级纪律检查委员会和基层纪律检查委员会在同级党的委员会和上级纪律检查委员会____下进行工作。,D,双重指导,指导,监督,双重领导,,
618,单选题,35.党的各级纪律检查委员会每届任期和____相同。,D,同级政府,同级人大,同级政协,同级党的委员会,,
619,单选题,36.各级纪律检查委员会要受理党员的____；保障党员的权利。,A,控告和申诉,控告,申诉,举报,,
620,单选题,37.党的各级委员会要加强对共青团的____，注意团的干部的选拔和培训。,C,统领,指导,领导,引导,,
621,单选题,38.党组织讨论决定问题，必须执行____的原则。,A,少数服从多数,服从组织,服从领导,,,
622,单选题,39.党员有权经过规定程序成为候选人和____。,C,补候选人,参选人,当选,,,
623,单选题,40.党员享有的____规定的各项权利必须受到尊重和保护，党的任何一级组织、任何党员都无权剥夺。,C,宪法,民法,党章,,,
624,单选题,41.党员的合法权益受到党组织或者其他党员侵害时，有权向本人所在党组织、上级党组织直至____提出控告。,B,国务院,中央,政府,,,
625,单选题,42.企业、农村和街道、社区等党的基层组织应当注意维护____的民主权利，保障其正常行使。,B,正式党员,流动党员,预备党员,,,
626,单选题,43.第一次把巡视制度写入党章是____。,C,党的十五届三中全会,党的十六届四中全会,党的十七大,党的十七届三中全会,,
627,单选题,44.为加强党内监督，完善巡视制度，规范巡视工作，党中央根据____，制定了《中国共产党巡视工作条例》。,B,《中华人民共和国宪法》,《中国共产党章程》,《中国共产党纪律处分条例》,《中国共产党党内监督条例》,,
628,单选题,45.党的中央和省、自治区、直辖市委员会实行巡视制度，建立专门巡视机构对____进行巡视监督。,B,下级党组织领导班子及其成员,所管理的地方、部门、企事业单位党组织,下级党委、政府,同级党组织领导班子及其成员,,
629,单选题,46.党的中央和省、自治区、直辖市委员会成立____，分别向党的中央和省、自治区、直辖市委员会负责并报告工作。,C,巡视工作办公室,巡视工作协调小组,巡视工作领导小组,巡视机构,,
630,单选题,47.巡视工作领导小组下设办公室，为其日常办事机构。办公室在____。,A,同级党的纪律检查委员会,同级党委组织部,同级党委办公厅,同级党的委员会,,
631,单选题,48.中央巡视组的巡视对象和范围不包括：____。,C,中央国家机关部委,人民团体,社会团体,中央管理的事业单位,,
632,单选题,49.省、自治区、直辖市党委巡视组的巡视对象和范围不包括：____,D,市（地、州、盟）人大常委会党组,县（市、区、旗）政协党组,省、自治区、直辖市管理的国有企业党委,县（市、区、旗）人民检察院党组,,
633,单选题,50.巡视组开展工作不可以采取以下哪种方式：____,C,抽查核实领导干部报告个人有关事项的情况,列席被巡视地区（单位）的有关会议,对涉嫌严重违纪党员干部采取调查措施,开展专项检查,,
634,单选题,51.巡视工作领导小组应当及时听取巡视组的巡视情况汇报，研究提出处理意见，报____决定。,B,同级党的纪律检查委员会,派出巡视组的党组织,巡视工作领导小组,巡视工作领导小组办公室,,
635,单选题,52.有关纪律检查机关、组织部门收到巡视移交的问题或者线索后，应当及时研究提出处理意见，下列哪种方式不属于处理方式：,D,谈话函询,初核,立案,移送司法机关,,
636,单选题,53.____应当加强对巡视工作的领导，及时解决巡视工作中遇到的重大问题。,A,派出巡视组的党组织,派出巡视组的党纪检监察机关和组织部门,巡视工作领导小组,巡视工作领导小组办公室,,
637,单选题,54.巡视工作以马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观为指导，深入贯彻习近平总书记系列重要讲话精神，坚持____落实中央巡视工作方针，聚焦党风廉政建设和反腐败斗争，发现问题，形成震慑，推动党的先进性和纯洁性建设。,C,惩防并举、注重预防,党要管党、从严治党,从严治党、依规治党,立党为公、执政为民,,
638,单选题,55.巡视工作坚持____，坚持实事求是、依法依规，坚持群众路线、发扬民主。,B,党委领导、集中负责,中央统一领导、分组负责,党委主要领导负总责,党委领导、分级负责,,
639,单选题,56.对被巡视党组织领导班子及其成员涉嫌违纪的问题，移交____处理。,B,被巡视党组织,纪检监察机关,组织人事部门,巡视工作领导小组,,
640,单选题,57.纪检机关、组织人事部门应当把巡视结果和巡视整改情况作为干部考核评价、选拔作用、奖励惩处的对干部进行调整、免职、降职等组织处理的____。,C,主要依据,参考依据,重要依据,重要参考,,
641,单选题,58.实施党纪处分，应当按照规定程序经____讨论决定，不允许任何个人或者少数人擅自决定和批准。,C,党代会,规定程序,党组织集体,党员代表,,
642,单选题,59.党员受到开除党籍处分，____内不得重新入党。另有规定不准重新入党的，依照规定。,A,五年,四年,三年,六年,,
643,单选题,60.党员受留党察看期间，没有____。,A,表决权、选举权和被选举权,表决权、申诉权和控告权,选举权、申诉权和控告权,选举权、表决权和申诉权,,
644,单选题,61.党员受到警告处分____内、受到严重警告处分____内，不得在党内提升职务和向党外组织推荐担任高于其原任职务的党外职务。,B,一年半 半年,一年 一年半,半年 一年,一年 两年,,
645,单选题,62.减轻处分，是指在本条例规定的违纪行为应当受到的处分幅度以上，减轻____给予处分。加重处分，是指在本条例规定的违纪行为应当受到的处分幅度以外，加重____给予处分。,B,一档 两档,一档 一挡,两档 一档,两档 两档,,
646,单选题,63.一人有本条例规定的两种以上（含两种）应当受到党纪处分的违纪行为，应当合并处理，按其数种违纪行为中应受到的____给予处分；其中一种违纪行为应当受到开除党籍处分的，应当给予开除党籍处分。,A,最高处分加重一档,最高处分减轻一档,最高处分加重一档,最低处分加重两档,,
647,单选题,64.一个违纪行为同时触犯本条例两个以上（含两个）条款的，依照处分____的条款定性处理。一个条款规定的违纪构成要件____包含在另一个条款规定的违纪构成要件中，特别规定与一般规定不一致的，适用特别规定。,D,较轻 全部,较重 部分,较轻 全部,较重 全部,,
648,单选题,65.党员犯罪，因故意犯罪被依法判处刑法规定的主刑（含宣告缓刑）的，应当给予____处分。,A,开除党籍,撤销党内职务或者留党察看处分,严重警告,警告,,
649,单选题,66.因过失犯罪被判处三年以上（含三年）有期徒刑或者被判处管制、拘役的，一般应当开除党籍。对于个别可以不开除党籍的，应当对照处分党员批准权限的规定，报请____批准。,B,同级党组织,再上一级党组织,同级纪委,上级纪委,,
650,单选题,67.计算经济损失主要计算____经济损失。,A,直接,直接和间接,主要,重要,,
651,单选题,68.党纪处分决定作出后，应当在____向受处分党员所在党的基层党组织中的全体党员及其本人宣布，并按照干部管理权限和组织关系将处分决定材料归入受处分者档案。,C,半年月内,60日内,一个月内,45日内,,
652,单选题,69.对于受到撤销党内职务以上（含撤销党内职务）处分的，还应当在____办理职务、工资等相应变更手续；涉及撤销或者调整其党外职务的，应当建议党外组织及时____其党外职务。,D,半个月内 撤销或者调整,60日内 调整,一个月内 撤销,一个月内 撤销或者调整,,
653,单选题,70.特殊情况下，经作出或者批准作出处分决定的组织批准，可以适当延长办理期限。办理期限最长不得超过____。,A,六个月,两个月,三个月,一年,,
654,单选题,71.在党内组织秘密集团或者组织其他分裂党内的活动的，给予____处分。参加秘密集团或者参加其他分裂党的活动的，给予____或者开除党籍处分。,C,留党察看 严重警告,开除党籍 严重警告,开除党籍 留党察看,撤销党内职务 严重警告,,
655,单选题,72.挑拨民族关系制造事端或者参加民族分裂活动的，对策划者、组织者和骨干分子，给予____处分。,A,开除党籍,严重警告,留党察看,撤销党内职务,,
656,单选题,73.组织、利用宗教活动反对党的路线、方针、政策和决议，破坏民族团结的，对策划者、组织者和骨干分子，给予处分。,C,开除党籍,留党察看,留党察看或者开除党籍,撤销党内职务或者开除党籍,,
657,单选题,74.在国（境）外，外国驻华使（领）馆申请政治避难，或者违纪后逃往（境）外、外国驻华使（领）馆的，或者在国（境）外公开发表反对党和政府的文章、演说、宣言、声明等的，给予____处分。,A,开除党籍,留党察看,留党察看或者开除党籍,撤销党内职务或者开除党籍,,
658,单选题,75.在干部选拔作用工作中，违反____，对直接责任者和领导责任者，情节较轻的，给予警告或者严重警告处分；情节较重的，给予撤销党内职务或者留党察看处分；情节严重的，给予开除党籍处分。,C,民主集中制原则,议事规则,干部选拔任用规定,组织纪律,,
659,单选题,76.驻外机构或者临时出国（境）团（组）中的党员，脱离组织出走时间不满____又自动回归的，给予撤销党内职务或者留党察看处分。,B,三个月,六个月,一年,三年,,
660,单选题,77.____违反有关规定经商办企业的，对直接责任者和领导责任者，给予警告或者严重警告处分；情节严重的，给予撤销党内职务处分。,C,党员领导干部,党员领导干部的配偶、子女及其配偶,党和国家机关,离职或者退（离）休的党员领导干部,,
661,单选题,78.党员领导干部____，在交通、医疗、警卫等方面为本人、配偶、子女及其配偶等亲属和其他特定关系人谋求特殊待遇，情节较重的，给予警告或者严重警告处分；情节严重的，给予撤销党内职务或者留党察看处分。,D,违反群众纪律,违反组织纪律,违反相关规定,违反工作、生活保障制度,,
662,单选题,79.违反有关规定扣留、收缴群众款物或者处罚群众的，情节较重的，给予____处分。,C,警告,严重警告,撤销党内职务或者留党察看,开除党籍处分,,
663,单选题,80.对待群众态度恶劣、简单粗暴，造成不良影响的，情节严重的，给予____处分。,C,警告,严重警告,撤销党内职务或者留党察看,开除党籍处分,,
664,单选题,81.党员领导干部违反有关规定干预和插手公共财政资金分配、项目立项评审、政府奖励表彰等活动，造成重大损失或者不良影响的，情节较轻的，应给予____处分。,B,警告,严重警告,撤销党内职务或留党察看,开除党籍,,
665,单选题,82.____、____或者____党组织关于干部选拔作用、纪律审查等尚未公开事项或者其他应当保密的内容的，给予警告或者严重警告处分；情节较重的，给予撤销党内职务或者留党察看处分；情节严重的，给予开除党籍处分。,A,泄露 扩散 窃取,遗失 泄露 扩散,扩散 遗失 窃取,泄露 遗失 窃取,,
666,单选题,83.生活奢靡、贪图享乐、追求低级趣味，造成不良影响的，情节严重的，给予____处分。,C,警告,严重警告,撤销党内职务,开除党籍,,
667,单选题,84.与他人发生不正当性关系，造成不良影响的，情节严重的，给予____处分。,D,警告,严重警告,撤销党内职务,开除党籍,,
668,单选题,85.党的各级委员会应对____党组织及其领导班子，特别是主要负责人进行监督。,B,上一级,下一级,同一级,,,
669,单选题,86.党的地方各级委员会和基层委员会监督____党委、纪委的工作，提出意见和建议。,A,上级,下级,同级,,,
670,单选题,87.党内监督的专门机关是党的____纪律检查委员会。,C,上级,同级,各级,,,
671,单选题,88.党的各级领导班子应当制定、完善并严格执行____，保证决策科学、民主。,B,组织原则,议事规则,党员准则,,,
672,单选题,89.党的地方各级委员会委员，有权对党的委员会全体会议决议、决定执行中存在的问题提出____。,C,不同意见或看法,疑问或质询,询问或质询,,,
673,单选题,90.对下级请示不及时答复、批复或对下级报告中反映的问题在____不及时处置，造成严重后果的，追究有关责任人的责任。,B,规定时间内,职责范围内,权力范围内,,,
674,单选题,91.地方各级党委、纪委和党委组织部门领导班子成员，除参加所在领导班子民主生活会外，每人每年应当参加____以上下一级领导班子的民主生活会，了解情况。,A,一个,二个,三个,,,
675,单选题,92.地方各级党的委员会全体会议作出的决议、决定，一般应当向下属党组织和党员通报，根据实际情况，以适当方式____公开。,A,向社会,向党内,向群众,,,
676,单选题,93.中央政治局向____全体会议报告工作。,B,人大常委会,中央委员会,中央纪委,,,
677,单选题,94.党委（党组）或组织（人事）部门对领导干部进行任职谈话，应当把贯彻执行____、廉政勤政方面的要求和存在的问题作为重要内容。,A,民主集中制,党的路线方针政策,上级党组织的决议,,,
678,单选题,95.有权向上级党组织提出要求罢免或撤换所在委员会和同级纪委中不称职的委员、常委的是____。,D,党的地方各级纪律检查委员会委员,党的各级纪律检查委员会委员,党的各级委员会委员,党的地方各级委员会委员,,
679,单选题,96.党内监督的重点对象是____。,A,党的各级领导机关和领导干部，特别是各级领导班子主要负责人,党的各级纪律检查委员会委员,党的各级委员会委员,党的地方各级委员会委员,,
680,单选题,97.下列选项不属于党内监督重点内容的是____。,D,遵守党的章程和其他党内法规，维护中央权威，贯彻执行党的路线、方针、政策和上级党组织决议、决定及工作部署的情况,遵守宪法、法律，坚持依法执政的情况,贯彻执行民主集中制的情况,保障公民民主权利的情况,,
681,单选题,98.下列选项中不属于党的各级委员会在党内监督方面职责的是：____,C,领导党内监督工作，明确同级纪委和党委工作部门、直属机构、派出机关以及相当于这一级别的党组（党委）在党内监督方面的任务和要求,制定贯彻上级党组织和同级党的代表大会关于加强党内监督工作决议、决定的措施，研究解决党内监督工作中的重要问题,对党委常委、委员，上级纪委和党委工作部门、直属机构、派出机关以及相当于这一级别的党组（党委）的领导班子及其成员进行监督,对下一级党组织及其领导班子，特别是主要负责人进行监督,,
682,单选题,99.____对派驻纪检组实行统一管理。,D,党的地方各级纪律检查委员会,党的地方各级委员会,党的各级委员会,纪委,,
683,单选题,100.罢免或撤换要求应当以____提出，并有根据地陈述理由。,D,文字形式,口头或书面形式,书面形式,书面形式署真实姓名,,
684,单选题,101.有权对党的委员会全体会议决议、决定执行中存在的问题提出询问或质询的是____。,D,党的地方各级委员会,党的地方各级纪律检查委员会委员,党的地方各级纪律检查委员会,党的地方各级委员会委员,,
685,单选题,102.党委（组）或组织（人事）部门对领导干部进行任职谈话，应当把____、廉政勤政方面的要求和存在的问题作为重要内容。,D,党的建设,改善民生,经济建设,贯彻执行民主集中制,,
686,单选题,103.对开好民生生活会负责，并承担制定和落实领导班子整改措施领导责任的是____。,D,领导班子,领导班子负责人,党委（党组）,领导班子主要负责人,,
687,单选题,104.《国有企业领导人员廉洁从业若干规定》的颁布时间为____,A,39995,40057,40026,40087,,
688,单选题,105.《国有企业领导人员廉洁从业若干规定》制定的目的：规范国有企业领导人员____，加强国有企业反腐倡廉建设，维护国家和出资人利益，促进国有企业科学发展。,A,廉洁从业行为,遵纪守法行为,克己奉公,廉洁自律行为,,
689,单选题,106.关于国有企业领导人员廉洁从业的说法错误的是____。,C,不得委托他人投资证券、期货或者以其他委托理财名义，未实际出资而获取收益,不得利用企业知识产权，为本人谋取利益,个人可以自行决定是否兼任本企业、出资企业的领导职务,不得将企业经济往来中国企业行为受到奖励的财物等据为己有,,
690,单选题,107.____不是国有企业实施《国有企业领导人员廉洁从业若干规定》的主要责任人。,A,纪委书记,党委（党组）书记,董事长,总经理,,
691,单选题,108.____不是负责对国有企业领导人员进行经常性教育和监督，促进其廉洁从业的部门。,C,纪检监察机关,组织人事部门,司法机关,履行国有资产出资人职责的机构,,
692,单选题,109.国有企业领导人员不得个人从事____经营活动和有偿中介活动，或者在本企业的同类经营企业、关联企业和与本企业有业务关系的企业投资入股。,C,关联性,经营性,营利性,营业性,,
693,单选题,110.国有企业领导人员不得未经批准兼任本企业所出资企业或者其他企业、事业单位、社会团体、中介机构的____，或者经批准兼职的，擅自领取薪酬及其他收入。,C,一般职务,技术职务,领导职务,职务,,
694,单选题,111.国有企业向履行国有资产出资人职责的机构报告、备案的事项，应当同时抄报____。,B,组织部门,本企业监事会,纪检监察机关,人事部门,,
695,单选题,112.国有企业领导人员不得利用职权为____从事营利性经营活动提供各种便利条件。,C,配偶、子女和其他头发,配偶、子女和其他工作人员,配偶、子女及其他特定关系人,配偶、子女,,
696,单选题,113.国有企业领导人员不得在____经营的场所进行职务消费。,B,其他关系人,关系人,特定关系人,其他人,,
697,单选题,114.国有企业领导人员不得用____旅游或者变相旅游。,B,公费,公款,公出,公差,,
698,单选题,115.国有企业领导人员不得大办____事宜，造成不良影响，或者借机敛财。,C,婚丧,喜庆,婚丧喜庆,,,
699,单选题,116.国有企业领导人员不得从事有悖社会____的活动。,A,公德,道德,品德,,,
700,单选题,117.国有企业应当结合《国有企业领导人员廉洁从业若干规定》建立领导人员____制度，规范领导人员从业行为以及离职和退休后的相关行为。,A,从业承诺,承诺,廉洁,从业,,
701,单选题,118.国有企业领导人员受到警示谈话、调离岗位、降职、免职处理的，应当减发或者全部扣发当年的____。,C,职务薪金,全年薪金,绩效薪金、奖金,奖金,,
702,单选题,119.国有企业领导人员违反《国有企业领导人员廉洁从业若干规定》受到降职处理的，____不得担任与其原任职务相当或者高于其原任职务的职务。,A,两年内,年内,五年内,终身,,
